lead_id,entity,candidate_product,lead_type,pdf_evidence,official_evidence,official_url,status,recommended_action
CC77-L001,Tweeq,Tweeq mada Card,new_entity_and_product_candidate,Digital banks and wallets comparison,"Official terms list mada card: issuance SAR 0, annual SAR 0, replacement SAR 10, delivery SAR 10, international transaction fee 2%, all excluding VAT.",https://tweeq.sa/en/payment-cards-terms-conditions,official_candidate_unmerged,"Create a separate identity-validation task; do not add to master until scope, licensing identity, network/co-badge, and current availability are confirmed."
CC77-L002,urpay / neoleap,urpay card portfolio,new_entity_candidate,Digital banks and wallets comparison,Official card terms confirm prepaid cards directly debiting the SAR wallet and identify multiple card products.,https://www.urpay.com.sa/en/cards-terms-conditions,official_candidate_unmerged,"Validate legal entity, licensing name, and whether CCIP treats urpay as a separate issuer/entity before adding products."
CC77-L003,urpay / neoleap,urpay Mada Card,new_product_candidate,Digital banks and wallets comparison,Virtual issuance free; annual fee free; supplementary SAR 30; physical printing SAR 30.,https://www.urpay.com.sa/en/cards-terms-conditions,official_candidate_unmerged,Validate current application availability and identity before assigning a card_id.
CC77-L004,urpay / neoleap,urpay Visa Platinum Card,new_product_candidate,Digital banks and wallets comparison,Virtual issuance free; annual fee free; supplementary SAR 30; physical printing SAR 30.,https://www.urpay.com.sa/en/cards-terms-conditions,official_candidate_unmerged,Validate current application availability and card-level cashback rules before assigning a card_id.
CC77-L005,urpay / neoleap,urpay Platinum Visitor Card,new_product_candidate,Not separately identifiable in CC77 table,Official terms list virtual issuance and annual fee as free; supplementary and physical printing are N/A.,https://www.urpay.com.sa/en/cards-terms-conditions,official_candidate_unmerged,Confirm eligibility and whether the product remains actively issued.
CC77-L006,urpay / neoleap,urpay Alahli Club Card,new_product_candidate,Not separately identifiable in CC77 table,"Official terms list SAR 30 virtual issuance, annual, and supplementary fees; SAR 70 physical printing.",https://www.urpay.com.sa/en/cards-terms-conditions,official_candidate_unmerged,Confirm current availability and co-brand identity before assigning a card_id.
CC77-L007,urpay / neoleap,urpay Visa Signature Card,new_product_candidate,Digital banks and wallets comparison,"SAR 300 virtual issuance, annual, and supplementary fees; SAR 30 physical printing; cashback 1.2% local and 1.5% international; exclusions listed in official terms.",https://www.urpay.com.sa/en/cards-terms-conditions,official_candidate_unmerged,Validate current availability and normalize cashback exclusions before assigning a card_id.
CC77-L008,Multi-bank,Statement and due-date fields,schema_enrichment_candidate,"Visa, Mastercard, cashback, Alfursan and travel tables",Not validated bank-by-bank in this task.,,secondary_lead_only,Add atomic statement_date_basis and payment_due_date_basis fields only after official verification.
CC77-L009,Multi-bank,Fee-waiver conditions,schema_enrichment_candidate,Annual fee and spend-waiver rows,Not validated bank-by-bank in this task.,,secondary_lead_only,"Separate standard fee, promotional fee, first-year fee, renewal fee, VAT basis, waiver threshold, and customer segment."
CC77-L010,Multi-bank,Rewards valuation assumptions,calculation_model_candidate,Points-value and example-spend sections,PDF states flight values are approximate and vary by destination and price.,,secondary_lead_only,"Keep redemption values time-stamped, channel-specific, and separate from direct earning rates."
CC77-L011,Multi-bank,Reward exclusions,missing_data_and_conflict_lead,13 linked exclusion summaries,"Linked PDFs are social-account summaries created in Apple Numbers, not official bank documents.",,secondary_lead_only,Use each summary only to locate an official rewards clause; never confirm an exclusion from the linked file alone.
CC77-L012,Multi-bank,Airport lounge and travel insurance fields,schema_enrichment_candidate,Network comparison tables,Not validated bank-by-bank in this task.,,secondary_lead_only,"Normalize provider, eligibility, visit allowance, guest rules, spend condition, and effective period after official confirmation."
CC77-L013,Multi-bank,"Welcome, milestone, quarterly and annual bonuses",schema_enrichment_candidate,Alfursan comparison table,Not validated bank-by-bank in this task.,,secondary_lead_only,"Store each bonus as a separate event with spend threshold, window, recurrence, cap, and source date."
